English Name	Scientific Name	Label	Family	Diet	Stratum	Habitat	Lowland/Highland	Vagrant or Introduced	Widespread?	Barcoded?	Sampled E and W?	Number of BINs
Little Tinamou	Crypturellus soui	LiTa_Cso	Tinamidae	P	G	forest	L	N	Y	Y	0	1
Gray-headed Chachalaca	Ortalis cinereiceps	GHCh_Oci	Cracidae	P	G	forest	L	N	Y	Y	0	1
Crested Guan	Penelope purpurascens	CrGu_Ppu	Cracidae	P	G	forest	L	N	Y	Y	0	1
Black Guan	Chamaepetes unicolor	BlGu_Cun	Cracidae	P	G	forest	H	N	N	Y	0	1
Tawny-faced Quail	Rhynchortyx cinctus	TFQu_Rci	Odontiphoridae	GI	G	forest	L	N	Y	Y	0	1
Black-breasted Wood-Quail	Odontophorus leucolaemus	BBWQ_Ole	Odontiphoridae	GI	G	forest	H	N	N	Y	0	1
Spotted Wood-Quail	Odontophorus guttatus	SpWQ_Ogu	Odontiphoridae	GI	G	forest	H	N	N	Y	0	1
White-crowned Pigeon	Patagioenas leucocephala	WCPi_Ple	Columbidae	F	C	forest	L	N	Y	Y	0	1
Band-tailed Pigeon	Patagioenas fasciata	BTPi_Pfa	Columbidae	F	C	forest	H	N	N	Y	0	1
Short-billed Pigeon	Patagioenas nigrirostris	SBPi_Pni	Columbidae	F	C	forest	L	N	Y	Y	0	1
Ruddy Ground-Dove	Columbina talpacoti	RuGD_Cta	Columbidae	G	G	open	L	N	Y	Y	1	1
Blue Ground-Dove	Claravis pretiosa	BlGD_Cpr	Columbidae	G	G	open	L	N	Y	Y	0	1
Maroon-chested Ground-Dove	Claravis mondetoura	MCGD_Cmo	Columbidae	G	U	forest	H	N	N	Y	0	1
Ruddy Quail-Dove	Geotrygon montana	RuQD_Gmo	Columbidae	F	G	forest	L	N	Y	Y	1	1
Violaceous Quail-Dove	Geotrygon violacea	ViQD_Gvi	Columbidae	F	U	forest	L	N	Y	Y	0	1
White-tipped Dove	Leptotila verreauxi	WTDo_Lve	Columbidae	P	G	open	L	N	Y	Y	1	1
Gray-headed Dove	Leptotila plumbeiceps	GHDo_Lpl	Columbidae	G	U	forest	L	N	N	Y	0	1
Brown-backed Dove	Leptotila battyi	BBDo_Lba	Columbidae	G	U	forest	L	N	N	Y	0	1
Gray-chested Dove	Leptotila cassinii	GCDo_Lca	Columbidae	G	G	secondary	L	N	N	Y	1	1
Buff-fronted Quail-Dove	Zentrygon costaricensis	BFQD_Zco	Columbidae	G	G	forest	H	N	N	Y	0	1
Chiriqui Quail-Dove	Zentrygon chiriquensis	ChQD_Zch	Columbidae	P	G	forest	H	N	N	Y	0	1
Russet-crowned Quail-Dove	Zentrygon goldmani	RCQD_Zgo	Columbidae	G	G	forest	H	N	N	Y	0	1
Little Cuckoo	Coccycua minuta	LiCu_Cmi	Cuculidae	I	U	edge	L	N	N	Y	0	1
Squirrel Cuckoo	Piaya cayana	SqCu_Pca	Cuculidae	I	M	forest	L	N	Y	Y	1	1
Mangrove Cuckoo	Coccyzus minor	MaCu_Cmi	Cuculidae	I		forest	L	N	N	Y	0	1
Greater Ani	Crotophaga major	GrAn_Cma	Cuculidae	I	U	forest	L	N	N	Y	0	1
Smooth-billed Ani	Crotophaga ani	SBAn_Can	Cuculidae	I	C	open	L	N	Y	Y	1	1
Groove-billed Ani	Crotophaga sulcirostris	GBAn_Csu	Cuculidae	I	G	open	L	N	Y	Y	0	1
Short-tailed Nighthawk	Lurocalis semitorquatus	STNi_Lse	Caprimulgidae	I	C	forest	L	N	Y	Y	0	1
Common Pauraque	Nyctidromus albicollis	CoPa_Nal	Caprimulgidae	I	U	forest	L	N	Y	Y	1	2
Great Potoo	Nyctibius grandis	GrPo_Nyct	Nyctibiidae	I	C	edge	L	N	Y	Y	0	1
Common Potoo	Nyctibius griseus	CoPo_Nyct	Nyctibiidae	I	C	edge	L	N	Y	Y	1	1
White-necked Jacobin	Florisuga mellivora	WNJa_Fme	Trochilidae	N	C	forest	L	N	Y	Y	1	1
White-tipped Sicklebill	Eutoxeres aquila	WTSi_Eaq	Trochilidae	N	U	forest	H	N	Y	Y	1	1
Bronzy Hermit	Glaucis aeneus	BrHe_Gae	Trochilidae	N	U	edge	L	N	N	Y	1	1
Rufous-breasted Hermit	Glaucis hirsutus	RBHe_Ghi	Trochilidae	N	U	forest	L	N	N	Y	1	1
Band-tailed Barbthroat	Threnetes ruckeri	BTBa_Tru	Trochilidae	N	U	forest	L	N	Y	Y	1	1
Green Hermit	Phaethornis guy	GrHe_Pgu	Trochilidae	N	U	forest	H	N	Y	Y	1	1
Long-billed Hermit	Phaethornis longirostris	LBHe_Plo	Trochilidae	N	U	forest	L	N	Y	Y	1	1
Pale-bellied Hermit	Phaethornis anthophilus	PBHe_Pan	Trochilidae	N	U	forest	L	N	N	Y	0	1
Stripe-throated Hermit	Phaethornis striigularis	STHe_Pst	Trochilidae	N	U	forest	L	N	Y	Y	1	1
Green-fronted Lancebill	Doryfera ludovicae	GFLa_Dlu	Trochilidae	N	M	forest	H	N	Y	Y	0	1
Purple-crowned Fairy	Heliothryx barroti	PCFa_Hba	Trochilidae	N	C	edge	L	N	Y	Y	1	1
Green-breasted Mango	Anthracothorax prevostii	CBMa_Apr	Trochilidae	N	U	open	L	N	N	Y	0	1
Black-throated Mango	Anthracothorax nigricollis	BTMa_Ani	Trochilidae	N	U	open	L	N	Y	Y	0	1
Veraguan Mango	Anthracothorax veraguensis	VeMa_Ave	Trochilidae	N	U	open	L	N	N	Y	0	1
Rufous-crested Coquette	Lophornis delattrei	RCCo_Lde	Trochilidae	N	U	edge	L	N	Y	Y	0	1
Green-crowned Brilliant	Heliodoxa jacula	GCBr_Hja	Trochilidae	N	U	forest	H	N	Y	Y	0	1
Fiery-throated Hummingbird	Panterpe insignis	FTHu_Pin	Trochilidae	N	C	forest	H	N	N	Y	0	1
Long-billed Starthroat	Heliomaster longirostris	LBSt_Hlo	Trochilidae	N	U	edge	L	N	Y	Y	1	1
White-bellied Mountain-gem	Lampornis hemileucus	WBMG_Lhe	Trochilidae	N	C	forest	H	N	N	Y	0	1
Purple-throated Mountain-gem	Lampornis calolaemus	PTMG_Lca	Trochilidae	N	C	forest	H	N	N	Y	0	1
White-throated Mountain-gem	Lampornis castaneoventris	WTMG_Lca	Trochilidae	N	C	forest	H	N	N	Y	0	1
Magenta-throated Woodstar	Calliphlox bryantae	MTWo_Cbr	Trochilidae	N	M	edge	H	N	N	Y	0	1
Scintillant Hummingbird	Selasphorus scintilla	ScHu_Ssc	Trochilidae	N	U	edge	H	N	N	Y	0	1
Garden Emerald	Chlorostilbon assimilis	GaEm_Cas	Trochilidae	N	U	edge	L	N	Y	Y	1	1
Scaly-breasted Hummingbird	Phaeochroa cuvierii	SBHu_Pcu	Trochilidae	N	C	edge	L	N	Y	Y	1	1
Violet Sabrewing	Campylopterus hemileucurus	ViSa_Che	Trochilidae	N	U	forest	H	N	N	Y	0	1
Stripe-tailed Hummingbird	Eupherusa eximia	STHu_Eex	Trochilidae	N	C	forest	H	N	N	Y	0	1
Black-bellied Hummingbird	Eupherusa nigriventris	BBHu_Eni	Trochilidae	N	C	forest	H	N	N	Y	0	1
White-tailed Emerald	Elvira chionura	WTEm_Ech	Trochilidae	N	C	forest	H	N	N	Y	1	1
Snowcap	Microchera albocoronata	Snow_Mal	Trochilidae	N	C	forest	L	N	N	Y	0	1
White-vented Plumeleteer	Chalybura buffonii	WVPl_Cbu	Trochilidae	N	C	forest	L	N	N	Y	1	1
Bronze-tailed Plumeleteer	Chalybura urochrysia	BTPl_Cur	Trochilidae	N	U	forest	L	N	Y	Y	1	1
Violet-crowned Woodnymph	Thalurania colombica	VCWo_Tco	Trochilidae	N	U	forest	L	N	N	Y	1	1
Blue-chested Hummingbird	Amazilia amabilis	BCHu_Aam	Trochilidae	N	U	edge	L	N	Y	Y	1	1
Charming Hummingbird	Amazilia decora	ChHu_Ade	Trochilidae	N	U	edge	L	N	N	Y	0	1
Snowy-bellied Hummingbird	Amazilia edward	SBHu_Aed	Trochilidae	N	U	open	L	N	Y	Y	1	1
Rufous-tailed Hummingbird	Amazilia tzacatl	RTHu_Atz	Trochilidae	N	U	edge	L	N	Y	Y	1	1
Violet-capped Hummingbird	Goldmania violiceps	VCHu_Gvi	Trochilidae	N	U	forest	H	N	N	Y	0	1
Sapphire-throated Hummingbird	Lepidopyga coeruleogularis	STHu_Lco	Trochilidae	N	U	edge	L	N	Y	Y	1	1
Violet-bellied Hummingbird	Juliamyia julie	VBHu_Jju	Trochilidae	N	U	forest	L	N	N	Y	1	1
